EntrezID	TCGA-43-6771	TCGA-22-1011	TCGA-21-1070	TCGA-37-3789	TCGA-21-1081	TCGA-21-5782	TCGA-22-4607	TCGA-21-5784	TCGA-21-5786	TCGA-22-5472	TCGA-33-4547	TCGA-34-5232	TCGA-34-5241	TCGA-39-5024	TCGA-39-5028	TCGA-39-5029	TCGA-39-5031	TCGA-56-5897	TCGA-60-2708	TCGA-60-2720	TCGA-60-2721	TCGA-60-2724	TCGA-66-2768	TCGA-66-2773	TCGA-66-2778
2475	-2,29863	-1,3168	0,27343	-0,06523	-0,04518	-0,05511	-0,51973	0,02138	-1,29556	-0,46293	-0,28857	-1,14184	0,13921	-0,27444	-0,60412	0,24852	0,38355	0,06152	0,58709	-0,52174	-1,00297	-1,00403	-0,97391	0,31537	-2,23544
4609	0,59565	-0,91111	0,35734	0,0197	0,38007	-0,09181	-0,7058	-0,42128	-0,70285	0,60911	-0,66512	-1,05557	0,72546	1,24778	-0,14783	-0,18136	-1,29023	0,82771	-0,22696	-0,94958	-0,57922	-0,86297	-0,77596	-1,03961	0,51288
8202	-0,9248	-0,30105	-0,36766	-0,63324	-0,74765	-0,02438	-0,99649	-1,27015	-1,52073	0,44867	-0,94147	0,0022	-1,41219	-0,31774	0,48823	-0,59682	1,31175	-1,20736	0,28292	-0,03281	-0,91809	-1,27839	-0,7118	0,06063	-0,71347
4771	1,11919	-0,39559	0,24263	-0,90796	-0,55596	1,06831	-0,0228	-0,17821	-1,08814	0,63267	-0,50348	-1,36734	0,23257	-0,59118	0,76628	0,02843	0,14151	-0,84668	2,46162	0,32969	0,3202	0,03817	-1,00834	2,09651	-1,485
4790	-0,38725	-1,6915	-0,49548	-0,89178	-0,85562	-0,63711	-0,62267	-0,63696	-0,87309	-0,11951	0,03335	0,28667	-1,30908	-0,89598	-0,78104	-0,55416	0,65074	0,21121	-0,83939	-1,2741	-0,28202	-1,97176	-0,23235	0,10275	-0,7827
4851	-0,82668	-0,83871	0,35156	-0,13817	-0,1598	0,38621	-0,98481	0,10507	0,01488	0,55384	-0,22287	-0,412	-0,56614	-0,28711	0,56143	0,31679	1,12075	0,91951	-2,90267	-0,02976	-0,80092	-2,11046	-1,31014	-0,79513	0,47694
4854	-0,91491	-0,00415	0,44172	0,09943	-0,59438	-0,8835	1,37147	0,29269	1,06174	0,16474	-0,03677	1,21643	-0,37057	-0,11639	-1,01234	0,36275	1,23911	0,40926	-0,07315	-0,65208	-0,11534	-0,88614	0,49561	0,84957	-1,06945
5054	0,6597	1,25453	0,59275	-0,17524	1,72357	-1,87275	0,99051	-0,43528	1,33343	-0,38368	0,7828	2,1779	-0,15711	0,54582	0,91937	-0,66117	0,40637	0,14332	1,03661	1,55812	-0,51263	0,82257	1,65968	-0,13898	1,89604
11315	0,21414	-0,09575	0,53067	0,61583	0,35078	0,4686	1,28885	1,70744	0,22685	0,47825	0,7594	-2,30659	0,74406	-0,47481	0,01344	-0,63271	-0,2842	0,23205	0,93535	1,02444	0,44076	-0,1548	1,41812	0,38665	2,0456
142	0,03472	0,80865	-0,2018	1,5366	-0,01389	0,05774	0,23232	1,46463	-0,49865	0,11031	-0,14123	-0,23265	-0,09745	-0,11292	-0,38231	-0,03915	-0,26594	-0,09624	-0,97584	-0,15782	0,16546	-0,17836	0,31418	-0,2883	0,38686
